Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-11-05,10.5600004196167,11.399999618530273,10.4399995803833,10.800000190734863,64992,0.0,0.0
2018-11-06,11.279999732971191,11.399999618530273,10.800000190734863,11.039999961853027,43683,0.0,0.0
2018-11-07,11.15999984741211,11.399999618530273,11.039999961853027,11.279999732971191,32458,0.0,0.0
2018-11-08,11.520000457763672,11.640000343322754,10.800000190734863,10.920000076293945,42600,0.0,0.0
2018-11-09,10.800000190734863,11.15999984741211,10.5600004196167,10.5600004196167,26317,0.0,0.0
2018-11-12,10.5600004196167,10.800000190734863,10.319999694824219,10.4399995803833,24567,0.0,0.0
2018-11-13,10.800000190734863,10.800000190734863,10.199999809265137,10.4399995803833,23025,0.0,0.0
2018-11-14,10.5600004196167,10.800000190734863,10.4399995803833,10.5600004196167,32033,0.0,0.0
2018-11-15,10.4399995803833,10.680000305175781,10.079999923706055,10.5600004196167,28067,0.0,0.0
2018-11-16,10.4399995803833,10.680000305175781,10.199999809265137,10.199999809265137,36692,0.0,0.0
2018-11-19,10.199999809265137,10.5600004196167,9.84000015258789,9.960000038146973,43508,0.0,0.0
2018-11-20,9.720000267028809,9.84000015258789,8.399999618530273,8.520000457763672,278817,0.0,0.0
2018-11-21,8.760000228881836,9.359999656677246,8.760000228881836,9.239999771118164,86825,0.0,0.0
2018-11-23,9.239999771118164,9.359999656677246,8.640000343322754,9.239999771118164,50600,0.0,0.0
2018-11-26,9.239999771118164,9.239999771118164,8.399999618530273,8.399999618530273,100617,0.0,0.0
2018-11-27,8.520000457763672,8.520000457763672,8.039999961853027,8.039999961853027,90033,0.0,0.0
2018-11-28,8.039999961853027,8.279999732971191,7.440000057220459,8.15999984741211,144833,0.0,0.0
2018-11-29,8.399999618530273,8.640000343322754,7.800000190734863,8.520000457763672,66850,0.0,0.0
2018-11-30,8.640000343322754,8.880000114440918,7.920000076293945,8.399999618530273,77558,0.0,0.0
2018-12-03,8.760000228881836,8.880000114440918,7.920000076293945,8.039999961853027,78775,0.0,0.0
2018-12-04,8.039999961853027,8.640000343322754,7.679999828338623,7.679999828338623,111617,0.0,0.0
2018-12-06,7.679999828338623,7.920000076293945,7.199999809265137,7.679999828338623,119000,0.0,0.0
2018-12-07,8.039999961853027,8.039999961853027,7.320000171661377,7.559999942779541,91775,0.0,0.0
2018-12-10,7.679999828338623,7.679999828338623,6.840000152587891,6.960000038146973,183283,0.0,0.0
2018-12-11,7.199999809265137,7.440000057220459,6.960000038146973,7.079999923706055,98908,0.0,0.0
2018-12-12,7.199999809265137,7.320000171661377,6.840000152587891,7.079999923706055,78792,0.0,0.0
2018-12-13,7.079999923706055,7.079999923706055,6.71999979019165,6.71999979019165,66942,0.0,0.0
2018-12-14,6.840000152587891,6.960000038146973,6.71999979019165,6.71999979019165,80417,0.0,0.0
